,label,task_id
0,cat,498379
1,dog,498381
2,dog,498383
3,cat,498385
4,cat,498387
5,cat,498389
6,cat,498391
7,cat,498393
8,cat,498395
9,dog,498397
10,dog,498399
11,cat,498401
12,cat,498403
13,dog,498405
14,dog,498407
15,dog,498409
16,cat,498411
17,cat,498413
18,cat,498415
19,cat,498417
20,dog,498419
21,dog,498421
22,dog,498423
23,cat,498425
24,cat,498427
25,dog,498429
26,dog,498431
27,dog,498433
28,cat,498435
29,cat,498437
30,cat,498439
31,cat,498441
32,dog,498443
33,dog,498445
34,dog,498447
35,cat,498449
36,cat,498451
37,dog,498453
38,dog,498455
39,cat,498457
40,cat,498459
41,cat,498461
42,cat,498463
43,dog,498465
44,dog,498467
45,cat,498469
46,dog,498471
47,dog,498473
48,cat,498475
49,cat,498477
50,cat,498479
51,cat,498481
52,dog,498483
53,dog,498485
54,dog,498487
55,cat,498489
56,cat,498491
57,cat,498493
58,cat,498495
59,dog,498497
60,dog,498499
61,cat,498501
62,cat,498503
63,cat,498505
64,cat,498507
65,cat,498509
66,cat,498511
67,dog,498513
68,dog,498515
69,dog,498517
70,dog,498519
71,cat,498521
72,cat,498523
73,cat,498525
74,cat,498527
75,dog,498529
76,dog,498531
77,dog,498533
78,dog,498535
79,dog,498537
80,cat,498539
81,cat,498541
82,cat,498543
83,cat,498545
84,dog,498547
85,dog,498549
86,dog,498551
87,dog,498553
88,dog,498555
89,cat,498557
90,cat,498559
91,cat,498561
92,cat,498563
93,cat,498565
94,cat,498567
95,dog,498569
96,dog,498571
97,dog,498573
98,dog,498575
99,cat,498577
